state,district,crop,season,area,rainfall,temperature,production,yield
Haryana,Sonipat,Mustard,Kharif,40.84,593.01,20.74,47.95,1.17
Punjab,Hoshiarpur,Wheat,Rabi,15.5,522.76,43.56,31.45,2.03
Haryana,Gurugram,Sugarcane,Zaid,6.39,570.15,18.51,218.83,34.27
Karnataka,Bellary,Jowar,Rabi,22.35,2759.06,26.76,7.2,0.32
Maharashtra,Ratnagiri,Sugarcane,Kharif,34.56,1564.01,23.05,1699.23,49.17
Odisha,Kendrapara,Groundnut,Kharif,16.61,1471.54,24.79,10.26,0.62
Uttar Pradesh,Mathura,Wheat,Zaid,47.88,737.22,27.39,125.57,2.62
Haryana,Faridabad,Rice,Zaid,45.4,411.9,40.02,53.74,1.18
Punjab,Patiala,Cotton,Rabi,23.2,770.32,27.27,34.53,1.49
Uttar Pradesh,Saharanpur,Sugarcane,Zaid,18.25,1033.35,38.38,1248.14,68.38
West Bengal,Murshidabad,Jute,Kharif,49.21,2495.86,34.58,106.3,2.16
Rajasthan,Udaipur,Mustard,Zaid,45.02,649.87,7.4,27.59,0.61
Punjab,Kapurthala,Potato,Rabi,45.81,695.3,8.88,777.42,16.97
Haryana,Sirsa,Wheat,Zaid,18.89,335.64,41.69,23.34,1.24
Tamil Nadu,Coimbatore,Groundnut,Zaid,46.17,1052.46,25.15,46.14,1.0
Bihar,Nalanda,Rice,Rabi,32.42,1287.4,31.31,62.91,1.94
Madhya Pradesh,Jabalpur,Sugarcane,Kharif,42.52,934.74,38.42,2787.71,65.57
Andhra Pradesh,Srikakulam,Tobacco,Kharif,28.61,990.21,33.14,51.38,1.8
Haryana,Kurukshetra,Wheat,Zaid,14.7,743.86,36.8,19.96,1.36
Kerala,Kollam,Banana,Kharif,48.52,3818.87,35.86,954.83,19.68
Uttar Pradesh,Moradabad,Gram,Rabi,48.66,624.43,44.79,23.82,0.49
Punjab,Ferozepur,Cotton,Zaid,1.45,535.17,20.85,1.66,1.15
Andhra Pradesh,Krishna,Groundnut,Zaid,23.15,694.3,27.18,25.47,1.1
Assam,Tinsukia,Sugarcane,Kharif,37.72,1786.83,27.12,2330.17,61.77
Assam,Karbi Anglong,Jute,Rabi,35.18,1784.83,24.04,72.98,2.07
Madhya Pradesh,Chhindwara,Rice,Zaid,31.93,1535.06,26.26,96.91,3.03
Gujarat,Valsad,Rice,Zaid,22.78,350.78,25.24,42.24,1.85
Tamil Nadu,Dindigul,Cotton,Rabi,19.58,1375.74,35.61,18.67,0.95
Punjab,Moga,Wheat,Rabi,30.1,643.81,35.3,57.65,1.92
Tamil Nadu,Erode,Sugarcane,Kharif,16.42,1200.49,35.95,1070.94,65.22
Madhya Pradesh,Gwalior,Soybean,Kharif,42.74,1468.05,34.67,31.51,0.74
West Bengal,Hooghly,Rice,Zaid,29.8,2066.91,25.54,52.04,1.75
Odisha,Balasore,Turmeric,Rabi,24.51,1580.02,30.18,99.17,4.05
Bihar,Muzaffarpur,Potato,Zaid,23.99,1474.79,13.66,242.45,10.11
Odisha,Sambalpur,Groundnut,Rabi,6.69,1730.52,23.65,4.1,0.61
Madhya Pradesh,Jabalpur,Cotton,Rabi,47.79,1006.17,12.69,51.0,1.07
Rajasthan,Bhilwara,Wheat,Zaid,8.93,166.09,30.93,11.97,1.34
West Bengal,Birbhum,Potato,Kharif,43.87,2034.33,33.63,364.79,8.31
Assam,Nagaon,Rice,Rabi,22.89,1861.16,21.86,47.14,2.06
Assam,Kamrup,Tea,Kharif,27.94,1516.17,29.09,40.84,1.46
Punjab,Moga,Maize,Rabi,41.21,732.83,29.92,119.48,2.9
Haryana,Panipat,Sugarcane,Kharif,42.98,460.07,34.44,1991.96,46.34
Rajasthan,Jaipur,Barley,Zaid,5.13,565.26,15.96,9.81,1.91
Tamil Nadu,Coimbatore,Groundnut,Rabi,8.51,1412.78,32.75,6.32,0.74
Kerala,Idukki,Coconut,Rabi,12.87,2215.15,25.49,114.06,8.86
Odisha,Bhadrak,Jute,Rabi,27.49,1480.26,28.57,69.77,2.54
Telangana,Adilabad,Sugarcane,Kharif,35.09,794.58,39.94,1456.13,41.5
Bihar,Saran,Sugarcane,Rabi,35.44,1445.5,28.34,2564.63,72.36
Odisha,Koraput,Jute,Rabi,8.42,1606.95,30.17,16.68,1.98
Assam,Barpeta,Jute,Kharif,18.28,1914.06,22.88,39.09,2.14
Madhya Pradesh,Gwalior,Soybean,Rabi,32.19,1090.85,41.62,21.25,0.66
Gujarat,Amreli,Rice,Rabi,21.18,1193.96,17.37,45.72,2.16
West Bengal,Darjeeling,Rice,Rabi,36.96,2273.51,21.28,57.28,1.55
Rajasthan,Alwar,Gram,Rabi,30.93,631.35,10.91,17.01,0.55
West Bengal,Bankura,Potato,Kharif,12.89,1244.12,13.14,140.31,10.89
Haryana,Panipat,Bajra,Zaid,22.67,617.87,33.91,16.78,0.74
Haryana,Jhajjar,Cotton,Rabi,15.06,459.93,20.24,14.51,0.96
Madhya Pradesh,Bhopal,Sugarcane,Zaid,10.97,897.61,40.72,563.87,51.41
Tamil Nadu,Nagapattinam,Banana,Zaid,28.78,740.2,37.1,634.62,22.05
West Bengal,Midnapore,Wheat,Rabi,40.62,1354.24,29.9,37.01,0.91
Andhra Pradesh,Anantapur,Cotton,Kharif,20.97,1065.28,29.15,26.63,1.27
Uttar Pradesh,Mathura,Wheat,Rabi,4.7,933.61,37.78,5.26,1.12
Haryana,Bhiwani,Bajra,Rabi,27.04,635.46,37.4,18.57,0.69
Karnataka,Gulbarga,Cotton,Kharif,36.16,764.58,19.91,57.89,1.6
Uttar Pradesh,Kanpur,Potato,Kharif,26.64,986.64,17.54,436.46,16.38
Andhra Pradesh,East Godavari,Sugarcane,Kharif,9.96,704.29,25.69,333.85,33.51
Gujarat,Ahmedabad,Tobacco,Kharif,0.74,871.0,28.89,1.16,1.58
Maharashtra,Ratnagiri,Groundnut,Kharif,1.84,2144.42,41.39,0.92,0.5
Assam,Karbi Anglong,Banana,Zaid,2.56,1881.76,20.04,53.42,20.83
Maharashtra,Ratnagiri,Soybean,Zaid,40.71,2555.72,41.78,12.96,0.32
Madhya Pradesh,Sagar,Sugarcane,Zaid,10.56,846.49,32.19,721.98,68.34
Tamil Nadu,Chennai,Groundnut,Zaid,46.9,638.48,34.57,78.78,1.68
Rajasthan,Barmer,Bajra,Zaid,47.24,365.55,36.8,43.01,0.91
Telangana,Medak,Maize,Kharif,16.26,992.67,31.99,40.71,2.5
Maharashtra,Nagpur,Groundnut,Zaid,8.62,1382.73,21.05,5.06,0.59
West Bengal,Bardhaman,Mustard,Zaid,14.05,1957.96,15.8,7.94,0.57
Telangana,Nizamabad,Chilli,Rabi,46.41,835.36,38.55,86.2,1.86
Telangana,Sangareddy,Turmeric,Zaid,28.28,1188.59,18.97,100.27,3.55
Punjab,Sangrur,Cotton,Kharif,2.95,733.94,21.99,3.2,1.09
Andhra Pradesh,West Godavari,Cotton,Zaid,39.31,1073.25,30.26,43.57,1.11
Bihar,Vaishali,Sugarcane,Rabi,27.85,1356.15,39.97,2158.11,77.48
Madhya Pradesh,Sagar,Rice,Rabi,26.93,1596.47,36.35,62.13,2.31
Tamil Nadu,Kancheepuram,Banana,Kharif,19.03,865.6,26.72,647.8,34.04
Odisha,Koraput,Sesame,Zaid,22.34,1408.21,23.74,4.8,0.22
Assam,Karbi Anglong,Banana,Rabi,49.06,2457.93,27.36,1140.33,23.24
Punjab,Jalandhar,Sugarcane,Zaid,48.76,767.02,39.76,2906.1,59.6
West Bengal,Midnapore,Potato,Zaid,25.53,1850.58,20.49,250.8,9.83
Haryana,Panipat,Cotton,Kharif,25.44,721.56,23.85,39.38,1.55
Bihar,Saharsa,Lentil,Kharif,26.22,1130.92,25.15,6.46,0.25
Karnataka,Gulbarga,Rice,Kharif,20.55,677.1,25.52,28.01,1.36
Bihar,Muzaffarpur,Lentil,Zaid,14.51,1140.24,13.0,5.67,0.39
Maharashtra,Aurangabad,Soybean,Kharif,49.97,1991.32,20.28,28.3,0.57
West Bengal,Bankura,Wheat,Kharif,7.04,1565.23,16.97,15.36,2.18
Maharashtra,Ahmednagar,Soybean,Rabi,31.42,1962.11,19.25,19.91,0.63
Assam,Darrang,Sugarcane,Zaid,2.85,1635.1,34.91,130.89,45.95
Rajasthan,Ajmer,Gram,Rabi,17.99,759.02,13.22,8.8,0.49
West Bengal,Malda,Wheat,Zaid,12.18,2392.98,36.45,7.81,0.64
Tamil Nadu,Coimbatore,Coconut,Kharif,34.42,860.99,25.37,244.44,7.1
Uttar Pradesh,Meerut,Sugarcane,Kharif,7.9,1164.15,27.15,603.09,76.39
Gujarat,Kutch,Wheat,Kharif,45.17,645.39,37.37,86.13,1.91
Kerala,Ernakulam,Tea,Rabi,39.55,3583.27,27.13,47.37,1.2
Assam,Tinsukia,Rice,Zaid,24.57,1947.06,19.61,53.35,2.17
Kerala,Kasaragod,Coconut,Kharif,0.86,2321.79,24.77,8.61,10.03
Gujarat,Mehsana,Cotton,Zaid,12.82,1140.08,21.05,12.54,0.98
Bihar,Saran,Lentil,Kharif,7.35,1016.23,24.91,2.69,0.37
Bihar,Saharsa,Wheat,Kharif,24.86,1190.33,35.47,23.16,0.93
Madhya Pradesh,Jabalpur,Gram,Kharif,38.11,1415.91,14.87,16.14,0.42
Punjab,Ludhiana,Sugarcane,Rabi,3.97,817.84,38.94,190.12,47.86
Uttar Pradesh,Meerut,Potato,Zaid,29.42,772.46,10.15,529.84,18.01
Haryana,Panipat,Bajra,Zaid,36.64,658.67,22.36,22.14,0.6
Andhra Pradesh,Nellore,Cotton,Kharif,1.45,1034.85,23.22,2.49,1.71
Telangana,Nalgonda,Cotton,Kharif,14.5,860.7,29.89,30.78,2.12
Uttar Pradesh,Allahabad,Potato,Kharif,2.64,901.28,37.69,31.63,11.96
Bihar,Saran,Potato,Rabi,36.71,1041.59,37.82,285.7,7.78
Bihar,Gaya,Lentil,Kharif,27.71,1210.24,39.6,4.27,0.15
Odisha,Bhadrak,Sesame,Kharif,25.59,1461.32,39.08,5.58,0.22
West Bengal,Malda,Jute,Rabi,17.17,1230.4,32.09,42.04,2.45
Karnataka,Dakshina Kannada,Rice,Kharif,35.24,859.4,30.31,73.2,2.08
Uttar Pradesh,Varanasi,Gram,Kharif,5.69,930.93,22.3,3.59,0.63
Tamil Nadu,Nagapattinam,Cotton,Rabi,13.11,1012.67,35.14,26.06,1.99
Assam,Sonitpur,Banana,Rabi,43.01,1637.89,32.63,1454.5,33.81
Haryana,Jhajjar,Rice,Zaid,5.44,644.74,37.58,7.83,1.44
Bihar,Saran,Sugarcane,Zaid,18.68,1503.61,17.93,1154.81,61.83
Andhra Pradesh,YSR Kadapa,Cotton,Kharif,22.13,893.13,28.19,26.03,1.18
Kerala,Kottayam,Rubber,Zaid,5.29,2190.17,27.36,4.68,0.88
Telangana,Mahabubnagar,Maize,Rabi,47.56,980.84,28.75,109.51,2.3
Maharashtra,Nashik,Soybean,Zaid,40.55,1109.56,23.74,45.7,1.13
Punjab,Jalandhar,Wheat,Kharif,32.65,428.6,35.81,37.46,1.15
Andhra Pradesh,Anantapur,Chilli,Kharif,23.0,663.4,29.65,49.85,2.17
Assam,Dibrugarh,Potato,Zaid,7.48,1654.79,29.71,69.08,9.24
Maharashtra,Nagpur,Groundnut,Kharif,27.68,1807.93,33.33,17.44,0.63
Rajasthan,Bhilwara,Mustard,Kharif,36.97,364.7,34.96,24.23,0.66
Haryana,Sonipat,Sugarcane,Kharif,25.23,317.2,14.11,578.21,22.91
Karnataka,Dharwad,Sugarcane,Rabi,48.98,3264.3,26.99,2025.73,41.36
Karnataka,Mandya,Jowar,Zaid,39.67,2163.02,25.77,18.72,0.47
Gujarat,Junagadh,Cotton,Rabi,46.35,840.77,34.58,85.98,1.85
Kerala,Thrissur,Rice,Kharif,22.48,1992.14,29.68,44.63,1.99
Uttar Pradesh,Varanasi,Potato,Zaid,29.0,1195.65,9.75,314.53,10.85
Punjab,Hoshiarpur,Cotton,Zaid,15.98,419.06,12.1,12.04,0.75
Bihar,Darbhanga,Potato,Kharif,35.96,1531.01,19.11,515.53,14.34
West Bengal,Murshidabad,Potato,Zaid,36.17,1819.71,26.87,265.07,7.33
Odisha,Koraput,Groundnut,Rabi,31.77,1504.4,38.39,16.05,0.51
Haryana,Bhiwani,Mustard,Kharif,49.98,678.62,26.23,28.88,0.58
Telangana,Sangareddy,Maize,Zaid,40.57,986.89,31.57,70.57,1.74
Karnataka,Bangalore Urban,Ragi,Rabi,25.08,1088.23,18.13,20.85,0.83
Uttar Pradesh,Saharanpur,Gram,Zaid,11.95,902.97,17.65,5.83,0.49
Andhra Pradesh,Guntur,Cotton,Kharif,40.91,1196.52,34.95,60.2,1.47
Punjab,Hoshiarpur,Potato,Zaid,1.41,838.8,37.33,15.9,11.26
West Bengal,Kolkata,Rice,Zaid,20.03,1933.39,14.53,38.46,1.92
Uttar Pradesh,Agra,Potato,Rabi,39.67,790.41,8.27,664.08,16.74
Uttar Pradesh,Bareilly,Potato,Rabi,35.55,978.95,22.9,737.18,20.74
Punjab,Jalandhar,Potato,Kharif,33.3,857.55,43.94,249.69,7.5
Haryana,Rohtak,Sugarcane,Zaid,2.45,462.99,21.65,91.02,37.23
Andhra Pradesh,Srikakulam,Cotton,Rabi,39.31,634.51,37.05,73.86,1.88
Maharashtra,Nagpur,Soybean,Rabi,40.13,2050.49,15.26,22.23,0.55
Odisha,Cuttack,Sugarcane,Zaid,19.6,1534.74,23.66,1073.21,54.76
Rajasthan,Jaipur,Bajra,Kharif,40.67,488.29,19.8,39.14,0.96
Kerala,Thiruvananthapuram,Rice,Rabi,48.95,1572.07,30.6,88.03,1.8
Kerala,Kasaragod,Rubber,Kharif,37.66,2106.9,30.02,39.39,1.05
West Bengal,Birbhum,Tea,Zaid,34.19,1353.09,25.65,54.88,1.61
Bihar,Patna,Potato,Kharif,24.48,1307.19,37.92,197.46,8.07
Gujarat,Surat,Groundnut,Rabi,2.62,881.92,40.6,2.64,1.01
Andhra Pradesh,Kurnool,Sugarcane,Kharif,36.64,1065.95,25.99,2412.31,65.83
Odisha,Mayurbhanj,Groundnut,Rabi,36.3,1655.23,37.92,20.62,0.57
Uttar Pradesh,Kanpur,Gram,Zaid,37.61,997.31,21.27,21.39,0.57
Telangana,Rangareddy,Rice,Zaid,38.85,716.14,21.6,48.74,1.25
Madhya Pradesh,Vidisha,Cotton,Kharif,28.5,1469.75,30.93,26.42,0.93
Bihar,Darbhanga,Maize,Zaid,42.03,1505.01,27.2,73.14,1.74
Assam,Jorhat,Potato,Kharif,5.61,1825.09,16.35,76.12,13.56
Kerala,Thrissur,Coffee,Zaid,37.47,3671.65,26.65,18.1,0.48
Assam,Goalpara,Sugarcane,Zaid,30.33,1656.23,15.13,1414.69,46.65
Odisha,Ganjam,Sugarcane,Zaid,8.81,1239.94,26.71,588.49,66.79
Bihar,Munger,Lentil,Kharif,30.17,1544.67,23.56,10.32,0.34
Gujarat,Valsad,Bajra,Zaid,9.9,413.4,26.24,9.78,0.99
Kerala,Kasaragod,Coffee,Kharif,3.63,1754.72,32.06,2.32,0.64
Rajasthan,Kota,Maize,Rabi,11.21,101.73,21.0,12.23,1.09
Assam,Nagaon,Tea,Zaid,49.4,1827.17,34.33,49.02,0.99
Maharashtra,Kolhapur,Sugarcane,Zaid,4.56,1051.85,15.49,158.02,34.68
Haryana,Gurugram,Mustard,Kharif,15.72,311.57,21.07,11.92,0.76
Assam,Goalpara,Tea,Rabi,23.9,1814.69,30.73,29.73,1.24
Tamil Nadu,Thanjavur,Banana,Zaid,37.34,1061.24,34.73,774.75,20.75
Rajasthan,Ajmer,Bajra,Rabi,47.21,675.05,13.59,33.35,0.71
Andhra Pradesh,Nellore,Groundnut,Rabi,46.35,1028.98,27.14,39.02,0.84
Bihar,Bhagalpur,Lentil,Zaid,14.23,1286.15,10.82,4.87,0.34
Madhya Pradesh,Vidisha,Sugarcane,Rabi,34.3,1022.95,20.71,1378.37,40.19
Madhya Pradesh,Sagar,Cotton,Kharif,8.0,1292.24,23.64,10.0,1.25
Assam,Lakhimpur,Sugarcane,Kharif,46.64,1939.93,34.35,3032.04,65.01
Maharashtra,Ahmednagar,Cotton,Zaid,4.28,2457.63,23.4,2.66,0.62
Haryana,Bhiwani,Cotton,Kharif,18.68,428.44,31.29,21.73,1.16
Andhra Pradesh,Nellore,Groundnut,Rabi,27.46,983.86,22.03,19.51,0.71
West Bengal,Hooghly,Wheat,Zaid,14.65,1201.6,34.18,10.66,0.73
Haryana,Sirsa,Wheat,Kharif,29.09,613.69,15.93,124.01,4.26
Maharashtra,Kolhapur,Sugarcane,Kharif,29.67,1388.24,38.8,1370.2,46.17
Telangana,Rangareddy,Sugarcane,Rabi,30.62,852.6,34.57,1876.99,61.3
Punjab,Gurdaspur,Maize,Rabi,36.99,675.39,24.82,103.16,2.79
Rajasthan,Nagaur,Maize,Kharif,8.8,643.14,47.55,11.46,1.3
Madhya Pradesh,Ujjain,Gram,Kharif,33.46,1312.34,23.73,12.63,0.38
Haryana,Hisar,Bajra,Zaid,15.83,737.09,33.56,8.93,0.56
Odisha,Puri,Sesame,Kharif,26.3,1721.73,21.8,3.24,0.12
Uttar Pradesh,Moradabad,Potato,Zaid,25.42,809.31,9.58,450.56,17.72
Tamil Nadu,Dindigul,Rice,Rabi,1.71,950.63,26.84,3.73,2.18
Maharashtra,Thane,Rice,Zaid,37.08,1516.56,18.11,79.46,2.14
Karnataka,Dharwad,Cotton,Kharif,12.12,1684.45,33.11,10.11,0.83
West Bengal,Darjeeling,Jute,Rabi,22.04,2275.87,34.26,32.46,1.47
Punjab,Gurdaspur,Wheat,Rabi,25.6,698.98,2.29,41.04,1.6
Gujarat,Ahmedabad,Cotton,Rabi,49.85,725.18,38.92,93.06,1.87
Rajasthan,Bhilwara,Barley,Kharif,15.32,692.39,33.48,15.55,1.02
Gujarat,Bharuch,Tobacco,Zaid,11.67,302.59,41.34,11.71,1.0
Andhra Pradesh,Kurnool,Groundnut,Zaid,35.9,619.38,29.55,48.67,1.36
Assam,Barpeta,Potato,Kharif,16.38,2946.47,32.26,116.44,7.11
Karnataka,Bangalore Urban,Ragi,Rabi,41.94,1114.57,27.28,41.77,1.0
Tamil Nadu,Tirunelveli,Coconut,Zaid,48.22,658.23,39.68,264.62,5.49
Punjab,Amritsar,Maize,Rabi,38.77,620.19,10.5,92.78,2.39
Rajasthan,Jaipur,Maize,Rabi,42.27,217.02,45.17,46.41,1.1
Andhra Pradesh,YSR Kadapa,Tobacco,Zaid,25.0,1055.04,32.87,36.98,1.48
Maharashtra,Ahmednagar,Jowar,Kharif,26.39,1275.22,20.13,11.72,0.44
West Bengal,Bardhaman,Mustard,Rabi,41.06,1928.27,25.85,22.33,0.54
Andhra Pradesh,Prakasam,Rice,Zaid,29.73,696.81,28.27,69.29,2.33
Gujarat,Amreli,Wheat,Rabi,13.05,832.18,35.68,15.49,1.19
West Bengal,Malda,Tea,Kharif,14.02,2311.71,29.61,27.62,1.97
Kerala,Malappuram,Rubber,Rabi,24.31,2251.37,28.14,23.4,0.96
Punjab,Sangrur,Sugarcane,Kharif,39.37,400.49,37.13,1930.69,49.04
West Bengal,Jalpaiguri,Mustard,Rabi,10.23,1604.62,37.0,2.85,0.28
Madhya Pradesh,Hoshangabad,Wheat,Rabi,19.31,1552.09,18.95,41.13,2.13
Uttar Pradesh,Bareilly,Wheat,Zaid,14.64,925.24,11.29,23.83,1.63
Bihar,Begusarai,Lentil,Rabi,39.19,1265.28,38.29,7.29,0.19
Punjab,Gurdaspur,Rice,Rabi,24.72,615.62,20.96,41.87,1.69
Madhya Pradesh,Indore,Rice,Zaid,33.41,830.57,34.8,50.45,1.51
Karnataka,Gulbarga,Rice,Kharif,27.6,3160.2,26.93,34.96,1.27
Bihar,Munger,Wheat,Rabi,39.65,1582.67,22.26,74.3,1.87
Uttar Pradesh,Mathura,Mustard,Rabi,29.4,927.42,34.43,7.62,0.26
Rajasthan,Jodhpur,Mustard,Kharif,30.09,204.84,43.87,13.73,0.46
Rajasthan,Chittorgarh,Gram,Zaid,5.56,714.73,26.68,3.81,0.69
West Bengal,Jalpaiguri,Mustard,Rabi,15.46,1565.21,22.68,8.12,0.53
Maharashtra,Solapur,Jowar,Rabi,3.45,1990.79,37.32,1.22,0.35
Bihar,Muzaffarpur,Rice,Zaid,46.85,1317.97,23.82,82.05,1.75
Telangana,Nizamabad,Cotton,Kharif,16.87,799.66,20.4,26.64,1.58
Kerala,Kasaragod,Rice,Rabi,35.53,2862.46,23.88,68.19,1.92
Assam,Kamrup,Rice,Kharif,42.25,2256.57,24.64,90.3,2.14
Telangana,Hyderabad,Maize,Zaid,7.97,1096.75,27.53,15.68,1.97
Odisha,Sundargarh,Sugarcane,Zaid,18.56,1723.98,32.93,1016.89,54.79
Maharashtra,Ratnagiri,Jowar,Zaid,9.71,595.96,17.71,7.34,0.76
Punjab,Jalandhar,Maize,Rabi,30.19,462.14,21.04,64.73,2.14
Andhra Pradesh,Srikakulam,Tobacco,Zaid,39.88,1024.95,24.48,67.71,1.7
Punjab,Patiala,Sugarcane,Rabi,15.85,660.71,40.55,728.48,45.95
Andhra Pradesh,East Godavari,Sugarcane,Rabi,14.73,625.47,29.85,910.02,61.78
Maharashtra,Pune,Groundnut,Rabi,4.9,2845.22,30.8,4.05,0.83
Karnataka,Belgaum,Coffee,Zaid,12.25,2699.53,24.55,8.33,0.68
Telangana,Medak,Sugarcane,Zaid,31.37,995.46,21.79,1830.98,58.37
Madhya Pradesh,Bhopal,Soybean,Zaid,29.35,949.61,32.77,35.37,1.21
Karnataka,Gulbarga,Jowar,Rabi,8.8,2427.08,21.59,3.52,0.4
Karnataka,Bellary,Jowar,Rabi,43.95,1797.88,27.67,17.4,0.4
Telangana,Mahabubnagar,Sugarcane,Rabi,41.33,1149.09,37.27,1853.39,44.84
Gujarat,Amreli,Rice,Zaid,10.93,459.04,36.08,14.14,1.29
Bihar,Begusarai,Lentil,Zaid,36.92,1434.3,16.0,11.33,0.31
Karnataka,Mandya,Sugarcane,Zaid,34.63,2686.41,25.32,1435.35,41.45
Assam,Tinsukia,Rice,Rabi,37.58,2424.75,29.32,87.46,2.33
Andhra Pradesh,Prakasam,Cotton,Zaid,25.6,821.32,24.4,37.4,1.46
Telangana,Nizamabad,Rice,Kharif,11.12,1102.52,25.8,19.85,1.78
Madhya Pradesh,Gwalior,Gram,Zaid,32.49,1210.44,23.32,18.8,0.58
Odisha,Kendrapara,Turmeric,Kharif,3.61,1407.7,34.38,22.03,6.09
Maharashtra,Pune,Cotton,Zaid,34.08,1309.46,20.81,26.51,0.78
Karnataka,Bellary,Cotton,Kharif,5.66,3486.24,18.61,4.42,0.78
Bihar,Patna,Rice,Rabi,23.96,1488.9,32.08,68.09,2.84
Bihar,Begusarai,Wheat,Zaid,43.01,1149.46,32.46,36.88,0.86
West Bengal,Kolkata,Mustard,Kharif,13.03,1934.21,27.72,7.0,0.54
Karnataka,Bellary,Rice,Zaid,33.37,2179.15,31.79,76.01,2.28
Kerala,Kottayam,Rubber,Zaid,27.12,2367.6,22.45,24.5,0.9
Bihar,Muzaffarpur,Lentil,Zaid,34.87,1254.16,11.0,10.08,0.29
Punjab,Patiala,Potato,Rabi,28.04,831.54,36.93,330.82,11.8
Andhra Pradesh,Prakasam,Rice,Kharif,6.61,626.25,25.94,10.46,1.58
Odisha,Puri,Sugarcane,Rabi,9.59,1550.06,29.04,612.35,63.86
Maharashtra,Kolhapur,Jowar,Rabi,29.26,2409.54,37.8,11.54,0.39
Gujarat,Ahmedabad,Cotton,Rabi,14.68,1323.51,20.17,18.24,1.24
Andhra Pradesh,East Godavari,Cotton,Kharif,37.65,988.47,22.87,63.42,1.68
West Bengal,Darjeeling,Wheat,Rabi,16.57,1846.15,17.16,33.26,2.01
Maharashtra,Satara,Groundnut,Kharif,5.23,1744.83,25.24,3.11,0.59
Bihar,Saran,Lentil,Zaid,17.0,1576.75,33.27,4.55,0.27
Telangana,Mahabubnagar,Maize,Rabi,17.92,1154.44,32.71,45.65,2.55
Bihar,Purnia,Maize,Zaid,11.81,1023.43,13.09,28.8,2.44
Andhra Pradesh,Visakhapatnam,Sugarcane,Rabi,37.85,996.79,34.26,2457.46,64.93
Rajasthan,Chittorgarh,Gram,Zaid,39.27,286.5,34.91,22.47,0.57
Assam,Sivasagar,Tea,Rabi,1.47,1536.83,32.77,1.49,1.01
Kerala,Alappuzha,Tea,Rabi,18.2,3547.34,23.97,20.96,1.15
Tamil Nadu,Thanjavur,Cotton,Kharif,6.55,1133.46,29.34,11.74,1.79
Andhra Pradesh,Krishna,Groundnut,Zaid,35.5,1078.25,28.06,40.25,1.13
Haryana,Panipat,Sugarcane,Rabi,6.47,343.56,39.6,262.48,40.55
Karnataka,Mysore,Coffee,Rabi,26.04,3385.12,20.23,14.26,0.55
West Bengal,Bankura,Jute,Rabi,39.44,2159.87,35.83,100.66,2.55
Punjab,Faridkot,Potato,Kharif,14.27,897.03,20.35,301.92,21.16
Punjab,Gurdaspur,Potato,Rabi,25.62,729.4,7.09,448.19,17.5
Haryana,Ambala,Mustard,Rabi,22.76,611.91,5.46,14.96,0.66
Odisha,Sundargarh,Groundnut,Zaid,10.65,1798.23,31.25,7.47,0.7
Assam,Kamrup,Jute,Kharif,7.0,2157.14,25.26,18.93,2.7
Andhra Pradesh,East Godavari,Tobacco,Kharif,25.02,609.46,37.08,37.57,1.5
Bihar,Saharsa,Maize,Kharif,17.43,1533.02,20.65,24.58,1.41
Uttar Pradesh,Bareilly,Gram,Zaid,31.31,935.0,29.22,13.0,0.42
Andhra Pradesh,East Godavari,Groundnut,Kharif,32.73,992.97,28.22,34.67,1.06
Maharashtra,Nashik,Soybean,Zaid,40.05,1271.1,41.63,23.91,0.6
Rajasthan,Bhilwara,Mustard,Kharif,24.17,755.72,23.7,21.13,0.87
Bihar,Munger,Rice,Rabi,42.26,1070.54,26.78,107.64,2.55
Uttar Pradesh,Gorakhpur,Rice,Kharif,31.51,656.15,36.57,52.02,1.65
Gujarat,Ahmedabad,Bajra,Kharif,41.91,550.89,42.78,26.35,0.63
Bihar,Purnia,Maize,Kharif,5.55,1145.71,19.35,10.94,1.97
Maharashtra,Ahmednagar,Cotton,Zaid,21.7,673.14,27.8,23.41,1.08
Tamil Nadu,Erode,Sugarcane,Zaid,22.05,923.49,21.98,1375.93,62.4
Odisha,Balasore,Sugarcane,Kharif,32.55,1269.77,33.34,2355.78,72.38
Odisha,Kendrapara,Sugarcane,Kharif,33.39,1770.1,29.38,2403.11,71.97
Punjab,Bathinda,Wheat,Kharif,31.0,618.49,22.29,82.75,2.67
Telangana,Sangareddy,Chilli,Zaid,2.9,1084.08,19.8,3.8,1.31
Uttar Pradesh,Agra,Gram,Kharif,23.66,1034.88,37.53,8.52,0.36
Tamil Nadu,Thanjavur,Sugarcane,Kharif,3.47,941.34,26.67,226.05,65.19
Punjab,Bathinda,Wheat,Zaid,5.16,573.38,35.1,8.58,1.66
Assam,Sonitpur,Banana,Rabi,47.18,2567.16,29.06,1018.78,21.59
Kerala,Idukki,Banana,Kharif,40.82,2012.82,27.23,871.34,21.35
Telangana,Adilabad,Maize,Rabi,43.35,870.76,27.82,94.79,2.19
Rajasthan,Chittorgarh,Barley,Kharif,35.01,694.82,28.48,35.63,1.02
Kerala,Kollam,Rubber,Kharif,24.29,2898.23,31.87,34.02,1.4
Kerala,Alappuzha,Tea,Zaid,1.27,3268.63,30.89,1.84,1.46
Karnataka,Bellary,Coffee,Zaid,32.66,3020.75,20.52,15.18,0.46
Odisha,Kendrapara,Jute,Kharif,1.66,1509.25,20.66,3.92,2.36
